iter	Passed	Remaining
0	0	73
1	1	75
2	2	69
3	2	63
4	3	68
5	4	70
6	5	73
7	6	71
8	6	70
9	7	69
10	8	67
11	9	67
12	9	66
13	10	64
14	11	65
15	12	64
16	12	62
17	13	62
18	14	61
19	14	59
20	16	60
21	16	59
22	17	59
23	18	58
24	19	58
25	20	56
26	20	55
27	21	55
28	22	55
29	23	55
30	24	55
31	25	54
32	26	52
33	26	51
34	27	50
35	28	50
36	29	49
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	53	24
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	63	14
81	63	13
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
