iter	Passed	Remaining
0	134	134174
1	135	67546
2	136	45336
3	137	34159
4	137	27434
5	138	22934
6	139	19740
7	139	17345
8	140	15474
9	141	13991
10	141	12766
11	142	11739
12	143	10870
13	143	10125
14	144	9479
15	145	8922
16	145	8432
17	146	7993
18	147	7603
19	148	7252
20	148	6934
21	149	6639
22	149	6369
23	150	6122
24	151	5895
25	151	5686
26	152	5492
27	153	5321
28	153	5154
29	154	4997
30	155	4849
31	155	4714
32	156	4584
33	157	4462
34	157	4346
35	158	4238
36	158	4136
37	159	4045
38	160	3955
39	161	3870
40	161	3788
41	162	3708
42	163	3632
43	163	3559
44	164	3490
45	165	3428
46	166	3366
47	166	3305
48	167	3246
49	167	3189
50	168	3134
51	169	3082
52	169	3032
53	170	2984
54	170	2937
55	172	2901
56	172	2861
57	173	2818
58	174	2777
59	174	2738
60	175	2699
61	175	2662
62	176	2626
63	177	2591
64	178	2561
65	178	2529
66	179	2498
67	180	2468
68	180	2438
69	181	2412
70	182	2386
71	183	2359
72	183	2334
73	184	2309
74	185	2283
75	185	2258
76	186	2234
77	187	2211
78	187	2189
79	188	2167
80	189	2145
81	189	2124
82	190	2100
83	191	2083
84	191	2064
85	192	2045
86	193	2026
87	193	2008
88	194	1989
89	194	1971
90	195	1953
91	196	1937
92	197	1922
93	197	1905
94	198	1889
95	198	1873
96	199	1857
97	200	1842
98	201	1829
99	201	1814
100	202	1800
101	203	1789
102	204	1778
103	204	1764
104	205	1750
105	205	1737
106	206	1724
107	207	1711
108	207	1699
109	208	1687
110	214	1718
111	215	1705
112	215	1693
113	216	1683
114	217	1671
115	217	1659
116	218	1647
117	218	1636
118	219	1625
119	220	1614
120	220	1603
121	221	1592
122	221	1581
123	222	1575
124	223	1565
125	224	1554
126	224	1544
127	225	1534
128	225	1525
129	226	1516
130	227	1507
131	227	1497
132	228	1489
133	229	1482
134	230	1473
135	230	1465
136	231	1456
137	231	1447
138	232	1439
139	233	1431
140	233	1423
141	234	1414
142	234	1407
143	235	1400
144	236	1392
145	236	1384
146	237	1377
147	237	1369
148	238	1362
149	239	1355
150	239	1348
151	240	1341
152	240	1334
153	241	1329
154	242	1322
155	243	1315
156	243	1309
157	244	1302
158	245	1296
159	245	1289
160	246	1282
161	246	1276
162	247	1269
163	248	1265
164	248	1259
165	249	1253
166	250	1247
167	250	1241
168	251	1235
169	251	1230
170	252	1224
171	253	1218
172	253	1213
173	254	1208
174	255	1203
175	255	1197
176	256	1192
177	257	1187
178	257	1182
179	258	1176
180	258	1171
181	259	1166
182	260	1162
183	260	1157
184	261	1152
185	262	1147
186	262	1142
187	263	1137
188	264	1132
189	264	1128
190	265	1123
191	265	1118
192	266	1113
193	267	1110
194	267	1106
195	268	1101
196	269	1097
197	269	1092
198	270	1088
199	270	1083
200	271	1079
201	272	1075
202	273	1072
203	273	1068
204	274	1064
205	275	1060
206	275	1056
207	276	1052
208	277	1048
209	277	1044
210	278	1040
211	279	1037
212	279	1034
213	280	1030
214	281	1026
215	281	1022
216	282	1019
217	283	1015
218	283	1011
219	284	1007
220	284	1004
221	285	1000
222	286	997
223	286	993
224	287	990
225	288	986
226	288	983
227	289	979
228	289	976
229	290	972
230	291	969
231	291	965
232	292	963
233	293	960
234	293	956
235	294	953
236	295	950
237	295	946
238	296	943
239	296	940
240	297	937
241	298	934
242	299	931
243	299	928
244	300	925
245	300	922
246	301	918
247	302	915
248	302	912
249	303	909
250	303	906
251	304	903
252	305	901
253	305	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	883
259	309	881
260	310	878
261	310	875
262	311	873
263	312	870
264	312	867
265	313	865
266	314	862
267	314	860
268	315	857
269	316	854
270	316	852
271	317	849
272	318	847
273	318	844
274	319	842
275	320	839
276	320	837
277	321	834
278	322	832
279	322	829
280	323	827
281	324	825
282	325	823
283	325	820
284	326	818
285	326	816
286	327	813
287	328	811
288	329	809
289	329	807
290	330	806
291	331	803
292	332	801
293	332	799
294	333	797
295	334	795
296	334	792
297	335	790
298	336	788
299	337	786
300	337	784
301	338	782
302	339	779
303	339	777
304	340	775
305	341	773
306	341	771
307	342	769
308	343	767
309	343	765
310	344	763
311	345	761
312	345	759
313	346	757
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	350	745
320	351	743
321	352	741
322	352	739
323	353	737
324	354	735
325	354	733
326	355	731
327	356	730
328	357	728
329	357	726
330	358	724
331	359	723
332	360	721
333	360	719
334	361	717
335	362	716
336	363	714
337	363	712
338	364	710
339	365	708
340	365	706
341	366	704
342	366	702
343	367	700
344	368	699
345	369	697
346	369	695
347	370	693
348	370	691
349	371	689
350	371	687
351	372	685
352	373	683
353	373	682
354	374	680
355	375	678
356	375	676
357	376	675
358	377	673
359	377	671
360	378	669
